	Door1	Door2	FaucetHandle1	FaucetHandle2	SinkFloor1	SinkFloor2	Soap Dispenser	Stall	ToiletFloor1	ToiletFloor2	ToiletFlushHandle1	ToiletFlushHandle2	ToiletSeat1	ToiletSeat2	Domaine	Embranchement	Classe	Ordre	Famille	Genre	OTU
0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp1	Gp1	unclassified	unclassified	01745
1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp1	Gp1	unclassified	unclassified	01118
2	0	0	0	0	3	4	0	0	9	0	6	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp16	Gp16	unclassified	unclassified	00220
3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp16	Gp16	unclassified	unclassified	02978
4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp16	Gp16	unclassified	unclassified	02405
5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp16	Gp16	unclassified	unclassified	04081
6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp16	Gp16	unclassified	unclassified	01247
7	0	0	0	0	0	0	0	0	0	2	2	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp16	Gp16	unclassified	unclassified	00921
8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp16	Gp16	unclassified	unclassified	00840
9	0	0	1	0	0	0	0	0	2	0	2	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp16	Gp16	unclassified	unclassified	00747
10	0	0	0	0	1	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp16	Gp16	unclassified	unclassified	01539
11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp16	Gp16	unclassified	unclassified	02250
12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp16	Gp16	unclassified	unclassified	03661
