	Door1	Door2	FaucetHandle1	FaucetHandle2	SinkFloor1	SinkFloor2	Soap Dispenser	Stall	ToiletFloor1	ToiletFloor2	ToiletFlushHandle1	ToiletFlushHandle2	ToiletSeat1	ToiletSeat2	Domaine	Embranchement	Classe	Ordre	Famille	Genre	OTU
79	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	03950
80	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	02728
81	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	03150
82	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	01837
83	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	02641
84	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	03234
85	0	0	0	0	0	0	0	0	2	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	01725
86	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	04019
87	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	03508
88	0	0	0	0	0	0	0	0	1	0	2	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	01102
89	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	03544
90	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	02367
91	0	0	0	0	0	0	0	0	0	2	8	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	00430
92	0	0	0	0	0	0	0	0	0	0	3	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	01199
93	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	03845
94	0	0	0	0	0	0	0	0	1	0	3	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	00780
95	0	0	0	0	0	2	0	0	0	0	2	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	00913
96	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	01296
97	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	02251
98	0	0	0	0	0	0	0	0	0	0	3	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	00993
99	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	02689
100	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	03917
101	0	0	0	0	0	0	0	0	1	0	1	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	01643
102	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	02178
103	0	0	0	0	0	0	0	0	3	0	1	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	00861
104	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	03433
105	0	0	0	0	0	0	0	0	0	0	4	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	00899
106	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	03545
107	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	02102
108	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	02417
109	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	01988
110	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	01636
111	0	0	0	0	0	0	0	0	0	0	4	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	00796
112	0	0	0	0	0	0	0	0	0	0	4	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	00786
113	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	02276
114	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	02125
115	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	03439
116	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	03702
117	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	01962
118	0	0	0	0	0	0	0	0	0	4	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	00802
119	0	0	0	0	0	0	0	0	1	0	2	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	01215
120	0	0	0	0	0	0	0	0	1	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	01471
121	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	03419
122	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	04013
123	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	03987
124	0	0	0	0	1	1	0	0	0	0	1	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	01145
125	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	01771
126	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	unclassified	unclassified	03501
127	0	10	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinobaculum	00394
128	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	01950
129	0	0	0	0	0	0	0	17	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	00265
130	0	0	0	2	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	01315
131	5	0	0	0	0	0	8	0	1	0	0	0	2	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	00271
132	0	0	0	0	0	0	0	2	1	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	01105
133	0	0	0	0	1	0	0	0	2	0	0	1	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	00871
134	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	01647
135	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	03288
136	1	0	1	0	0	0	0	3	3	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	00501
137	1	0	0	0	0	0	0	0	0	0	0	0	3	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	00765
138	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	01343
139	0	0	0	0	0	0	0	6	0	0	0	0	0	1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	00541
140	3	0	0	4	0	0	8	0	0	0	0	3	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	00260
141	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	03823
142	0	0	0	0	0	0	0	5	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	00725
143	0	0	0	0	0	0	0	5	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	00724
144	0	0	0	0	0	0	0	1	0	0	0	1	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	01470
145	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	02229
146	1	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	01509
147	0	0	0	0	0	0	0	0	0	1	0	0	0	20	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	00226
148	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	04098
149	2	2	5	2	0	0	12	19	2	0	0	0	3	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	00110
150	6	0	3	9	1	0	9	8	2	0	0	2	3	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	00120
151	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	03227
152	1	0	0	0	0	0	0	3	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	00801
153	0	0	0	0	0	0	0	0	0	0	0	0	3	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	00995
154	0	0	3	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	01015
155	0	0	2	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	01241
156	0	0	0	0	0	0	0	0	0	0	0	0	2	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	01374
157	0	0	0	0	0	0	10	0	0	0	0	0	1	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum	00366
158	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum	02685
159	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum	02129
160	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	unclassified	03601
161	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Beutenbergiaceae	unclassified	03705
162	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Beutenbergiaceae	unclassified	01279
163	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Beutenbergiaceae	unclassified	02826
164	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Bogoriellaceae	Georgenia	04033
165	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Bogoriellaceae	Georgenia	03470
166	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Bogoriellaceae	Georgenia	03173
167	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Bogoriellaceae	Georgenia	02775
168	0	0	0	0	0	0	0	21	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Bogoriellaceae	Georgenia	00229
169	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Bogoriellaceae	Georgenia	03586
170	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Bogoriellaceae	Georgenia	03889
171	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Bogoriellaceae	Georgenia	03788
172	0	0	0	2	0	0	2	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	00925
173	0	0	0	0	0	0	0	0	0	2	0	0	2	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	00813
174	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	03615
175	0	0	0	0	0	0	0	0	0	1	0	0	3	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	00854
176	0	0	0	2	0	0	12	0	1	0	0	5	0	2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	00221
177	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	03071
178	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	02639
179	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	03417
180	0	0	0	0	0	0	0	0	2	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	01760
181	0	0	0	0	2	0	0	0	2	0	0	0	2	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	00602
182	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	03452
183	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	02037
184	0	0	0	0	1	0	0	0	0	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	01568
185	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	03638
186	0	0	0	0	3	1	0	0	1	5	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	00410
187	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Oerskovia	02432
188	0	0	0	0	2	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	unclassified	01704
189	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	unclassified	03773
190	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	01603
191	0	0	0	0	0	0	0	0	0	0	1	0	7	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	00504
192	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	02420
193	0	0	0	3	0	0	0	0	0	0	0	0	0	1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	00784
194	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	03116
195	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	02056
196	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	02433
197	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	03527
198	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	02400
199	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	03689
