	Door1	Door2	FaucetHandle1	FaucetHandle2	SinkFloor1	SinkFloor2	Soap Dispenser	Stall	ToiletFloor1	ToiletFloor2	ToiletFlushHandle1	ToiletFlushHandle2	ToiletSeat1	ToiletSeat2	Domaine	Embranchement	Classe	Ordre	Famille	Genre	OTU
1975	0	0	0	0	0	0	0	0	1	0	12	0	0	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified	00333
1976	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified	03674
1977	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified	02782
1978	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified	02067
1979	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified	02621
1980	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified	03085
1981	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified	02508
1982	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	unclassified	02228
1983	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	unclassified	03625
1984	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	unclassified	01661
1985	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	unclassified	unclassified	01923
1986	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	unclassified	unclassified	02087
1987	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	03083
1988	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Chloroflexi	unclassified	unclassified	unclassified	unclassified	02975
